ID,Age (in years),Experience (in years),Income (in K/year),Income Categorical,ZIP Code,Family members,Education,Employment,Mortgage,Personal Loan,Securities Account,TD Account,Online,CreditCard,Net Worth (in K$),Investment Portfolio (in K$),Risk Tolerance,Financial Goals,Wealth Management Service Level
2313,48,22,83,Medium,91345,2,Graduate,Working Professional,0,No,No,No,Yes,No,489,0,Moderate,Wealth Growth,Basic
2314,58,32,54,Medium,94035,3,Graduate,Working Professional,0,No,No,No,Yes,Yes,621,0,Moderate,Estate Planning,Premium
2315,27,2,112,High,94501,4,Professional,Self-Employed,0,No,Yes,No,Yes,No,760,86,Conservative,Education Funding,Premium
2316,52,26,182,High,95818,2,Graduate,Working Professional,0,Yes,No,No,Yes,No,1332,0,Moderate,Education Funding,Private
2317,54,30,112,High,94920,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,897,0,Moderate,Retirement,Premium
2318,31,5,129,High,95814,3,Professional,Self-Employed,319,Yes,Yes,Yes,No,Yes,1319,502,Aggressive,Retirement,Private
2319,60,34,23,Low,94803,1,Graduate,Working Professional,112,No,No,No,Yes,No,427,0,Moderate,Education Funding,Basic
2320,34,9,198,High,95819,2,Undergraduate,Working Professional,422,No,No,No,Yes,No,1779,0,Conservative,Estate Planning,Private
2321,46,22,84,Medium,92692,4,Professional,Self-Employed,0,No,No,No,Yes,No,693,0,Moderate,Wealth Growth,Premium
2322,41,15,39,Low,91380,3,Professional,Self-Employed,0,No,No,No,No,No,381,0,Moderate,Tax Optimization,Basic
2323,62,37,129,High,94143,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,890,0,Conservative,Estate Planning,Premium
2324,31,7,113,High,94542,2,Graduate,Working Professional,315,No,No,No,No,No,1072,0,Conservative,Estate Planning,Private
2325,41,11,35,Low,93107,1,Professional,Self-Employed,114,No,No,No,Yes,No,609,0,Moderate,Estate Planning,Premium
2326,55,30,85,Medium,94591,1,Professional,Self-Employed,0,No,No,No,No,No,614,0,Moderate,Tax Optimization,Premium
2327,45,19,73,Medium,94086,4,Undergraduate,Working Professional,0,No,No,No,No,No,517,0,Moderate,Estate Planning,Premium
2328,51,25,70,Medium,90095,1,Professional,Self-Employed,0,No,Yes,No,Yes,No,525,368,Moderate,Wealth Growth,Premium
2329,27,2,130,High,92182,3,Undergraduate,Working Professional,192,Yes,No,No,Yes,No,1208,0,Conservative,Estate Planning,Private
2330,30,4,39,Low,94022,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,254,0,Conservative,Wealth Growth,Basic
2331,31,5,72,Medium,95133,4,Graduate,Working Professional,242,No,No,No,Yes,Yes,907,0,Conservative,Estate Planning,Premium
2332,61,37,68,Medium,90245,4,Professional,Self-Employed,0,No,No,No,No,No,472,0,Conservative,Estate Planning,Basic
2333,40,16,35,Low,94022,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,260,0,Moderate,Tax Optimization,Basic
2334,45,21,61,Medium,95812,3,Undergraduate,Working Professional,0,No,Yes,Yes,Yes,Yes,725,437,Moderate,Retirement,Premium
2335,45,21,69,Medium,90025,4,Undergraduate,Working Professional,0,No,No,No,No,No,801,0,Moderate,Education Funding,Premium
2336,37,13,59,Medium,93907,1,Graduate,Working Professional,0,No,No,No,No,No,530,0,Conservative,Estate Planning,Premium
2337,34,8,99,Medium,93460,2,Professional,Self-Employed,217,No,No,No,No,No,968,0,Conservative,Tax Optimization,Premium
2338,43,16,201,High,95054,1,Graduate,Working Professional,0,Yes,No,No,No,Yes,1200,0,Moderate,Retirement,Private
2339,42,18,130,High,94611,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,833,0,Moderate,Tax Optimization,Premium
2340,56,31,72,Medium,90095,3,Graduate,Working Professional,0,No,No,No,No,No,462,0,Moderate,Tax Optimization,Basic
2341,33,9,44,Low,94112,1,Undergraduate,Working Professional,0,No,No,No,No,No,429,0,Conservative,Education Funding,Basic
2342,36,10,91,Medium,92028,1,Professional,Self-Employed,289,No,No,No,Yes,No,1130,0,Conservative,Retirement,Private
2343,62,37,92,Medium,94608,3,Undergraduate,Working Professional,310,No,No,No,Yes,No,1082,0,Conservative,Tax Optimization,Private
2344,58,34,55,Medium,90032,1,Undergraduate,Working Professional,168,No,No,No,Yes,Yes,750,0,Moderate,Retirement,Premium
2345,65,40,20,Low,94608,3,Undergraduate,Retired,102,No,No,No,Yes,Yes,343,0,Conservative,Tax Optimization,Basic
2346,65,40,89,Medium,90291,1,Undergraduate,Retired,299,Yes,No,Yes,Yes,No,1135,217,Conservative,Education Funding,Private
2347,52,26,59,Medium,92660,2,Graduate,Working Professional,239,No,No,No,No,Yes,830,0,Moderate,Retirement,Premium
2348,64,39,8,Low,92104,3,Professional,Self-Employed,87,No,No,No,No,Yes,601,0,Conservative,Tax Optimization,Premium
2349,51,25,85,Medium,94015,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,884,0,Moderate,Wealth Growth,Premium
2350,59,35,94,Medium,94610,1,Undergraduate,Working Professional,76,No,Yes,Yes,Yes,No,961,620,Moderate,Estate Planning,Premium
2351,52,28,22,Low,91711,2,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,162,0,Moderate,Wealth Growth,Basic
2352,55,31,74,Medium,94611,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,487,0,Moderate,Tax Optimization,Basic
2353,46,19,59,Medium,93555,3,Graduate,Working Professional,0,No,No,No,No,No,543,0,Moderate,Tax Optimization,Premium
2354,61,36,12,Low,93023,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,230,0,Conservative,Tax Optimization,Basic
2355,35,9,8,Low,94043,1,Graduate,Working Professional,0,No,No,No,Yes,No,459,0,Conservative,Tax Optimization,Basic
2356,56,31,74,Medium,94920,3,Professional,Self-Employed,0,No,No,No,Yes,Yes,707,0,Moderate,Estate Planning,Premium
2357,31,5,184,High,92064,4,Graduate,Working Professional,0,Yes,No,Yes,Yes,Yes,1188,388,Aggressive,Estate Planning,Private
2358,44,19,34,Low,95005,4,Graduate,Working Professional,0,No,No,No,No,No,291,0,Moderate,Wealth Growth,Basic
2359,53,27,63,Medium,93109,2,Professional,Self-Employed,0,No,Yes,No,Yes,No,547,409,Moderate,Estate Planning,Premium
2360,36,12,123,High,95060,2,Graduate,Working Professional,0,Yes,No,Yes,Yes,Yes,962,338,Aggressive,Wealth Growth,Premium
2361,27,1,85,Medium,93302,2,Professional,Self-Employed,0,No,No,No,No,No,712,0,Conservative,Estate Planning,Premium
2362,36,12,109,High,94928,3,Professional,Self-Employed,0,Yes,Yes,Yes,Yes,No,615,410,Aggressive,Retirement,Premium
2363,40,15,31,Low,94720,1,Professional,Self-Employed,0,No,No,No,Yes,No,580,0,Moderate,Tax Optimization,Premium
2364,39,13,61,Medium,90095,2,Graduate,Working Professional,90,No,No,No,Yes,No,784,0,Conservative,Retirement,Premium
2365,59,35,88,Medium,94923,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,791,0,Moderate,Education Funding,Premium
2366,43,18,22,Low,91311,2,Graduate,Working Professional,0,No,No,No,No,No,550,0,Moderate,Wealth Growth,Premium
2367,30,4,63,Medium,95008,4,Graduate,Working Professional,0,No,Yes,No,Yes,No,706,100,Conservative,Wealth Growth,Premium
2368,26,1,80,Medium,95616,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,727,0,Conservative,Tax Optimization,Premium
2369,48,22,78,Medium,94588,3,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,473,0,Moderate,Wealth Growth,Basic
2370,50,24,45,Low,94005,4,Undergraduate,Working Professional,93,No,No,No,Yes,No,737,0,Moderate,Education Funding,Premium
2371,33,7,51,Medium,94040,4,Professional,Self-Employed,0,No,No,No,No,Yes,610,0,Conservative,Estate Planning,Premium
2372,32,6,111,High,95014,2,Professional,Self-Employed,0,No,No,No,No,No,623,0,Conservative,Retirement,Premium
2373,34,10,45,Low,93943,3,Undergraduate,Working Professional,153,No,No,No,Yes,Yes,428,0,Conservative,Retirement,Basic
2374,33,9,184,High,94304,2,Graduate,Working Professional,0,Yes,No,No,No,No,1342,0,Conservative,Retirement,Private
2375,32,5,41,Low,92008,2,Graduate,Working Professional,112,No,Yes,No,Yes,No,745,436,Aggressive,Education Funding,Premium
2376,55,30,69,Medium,91007,4,Professional,Self-Employed,0,No,Yes,Yes,Yes,Yes,444,386,Moderate,Tax Optimization,Basic
2377,58,33,23,Low,91768,3,Undergraduate,Working Professional,0,No,No,No,No,No,443,0,Moderate,Tax Optimization,Basic
2378,47,23,160,High,92037,2,Undergraduate,Working Professional,0,No,No,No,No,No,895,0,Moderate,Retirement,Premium
2379,30,5,61,Medium,95605,1,Graduate,Working Professional,251,No,Yes,Yes,Yes,No,606,359,Aggressive,Tax Optimization,Premium
2380,42,18,110,High,94720,2,Undergraduate,Working Professional,182,No,No,No,Yes,No,915,0,Moderate,Retirement,Premium
2381,40,16,50,Low,92606,2,Professional,Self-Employed,0,No,No,No,No,No,444,0,Moderate,Education Funding,Basic
2382,33,9,49,Low,94928,1,Graduate,Working Professional,0,No,No,No,Yes,No,614,0,Conservative,Education Funding,Premium
2383,46,20,185,High,94131,4,Graduate,Working Professional,428,Yes,No,No,No,Yes,1701,0,Moderate,Education Funding,Private
2384,63,39,52,Medium,90033,2,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,596,0,Conservative,Education Funding,Premium
2385,62,37,53,Medium,92028,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,371,0,Conservative,Retirement,Basic
2386,43,17,125,High,94720,4,Graduate,Working Professional,0,Yes,No,No,No,No,865,0,Moderate,Retirement,Premium
2387,31,5,72,Medium,94542,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,791,0,Conservative,Wealth Growth,Premium
2388,28,2,51,Medium,94720,4,Professional,Self-Employed,0,No,No,No,No,Yes,535,0,Conservative,Estate Planning,Premium
2389,64,39,23,Low,91768,3,Undergraduate,Working Professional,0,No,Yes,No,No,No,262,350,Conservative,Education Funding,Basic
2390,27,1,41,Low,90033,1,Professional,Self-Employed,0,No,No,No,No,Yes,317,0,Conservative,Tax Optimization,Basic
2391,33,9,41,Low,95814,3,Undergraduate,Working Professional,108,No,No,No,Yes,No,611,0,Conservative,Retirement,Premium
2392,39,12,138,High,92697,1,Graduate,Working Professional,0,Yes,No,No,Yes,No,1179,0,Conservative,Education Funding,Private
2393,44,20,138,High,94143,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,1140,0,Moderate,Tax Optimization,Private
2394,53,28,14,Low,94005,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,141,0,Moderate,Wealth Growth,Basic
2395,42,18,145,High,94065,2,Undergraduate,Working Professional,505,No,No,No,No,No,1585,0,Moderate,Estate Planning,Private
2396,44,17,25,Low,95064,3,Graduate,Working Professional,0,No,No,No,No,Yes,547,0,Moderate,Wealth Growth,Premium
2397,34,10,43,Low,95014,1,Undergraduate,Working Professional,142,No,No,No,No,Yes,683,0,Conservative,Education Funding,Premium
2398,47,22,93,Medium,90266,1,Graduate,Working Professional,309,No,No,No,Yes,No,894,0,Moderate,Tax Optimization,Premium
2399,53,29,90,Medium,95053,2,Undergraduate,Working Professional,217,No,Yes,No,No,Yes,758,295,Moderate,Wealth Growth,Premium
2400,62,36,41,Low,90245,,Professional,Self-Employed,154,No,Yes,No,Yes,No,634,298,Conservative,Estate Planning,Premium
2401,61,36,169,High,91380,2,Professional,Self-Employed,106,Yes,No,Yes,Yes,Yes,1109,329,Conservative,Estate Planning,Private
2402,42,17,63,Medium,95814,2,Professional,Self-Employed,0,No,No,No,Yes,No,784,0,Moderate,Estate Planning,Premium
2403,48,21,23,Low,94720,3,Graduate,Working Professional,95,No,No,No,No,No,411,0,Moderate,Estate Planning,Basic
2404,38,13,140,High,90210,4,Undergraduate,Working Professional,0,Yes,No,No,No,No,865,0,Conservative,Wealth Growth,Premium
2405,41,15,75,Medium,95010,1,Professional,Self-Employed,0,No,No,No,Yes,No,685,0,Moderate,Estate Planning,Premium
2406,57,32,13,Low,94588,4,Graduate,Working Professional,78,No,Yes,No,Yes,No,443,161,Moderate,Wealth Growth,Basic
2407,31,7,10,Low,92354,1,Professional,Self-Employed,81,No,No,No,Yes,No,404,0,Conservative,Tax Optimization,Basic
2408,39,15,100,Medium,94720,1,Graduate,Working Professional,0,No,No,No,Yes,No,675,0,Conservative,Wealth Growth,Premium
2409,48,22,85,Medium,94105,3,Undergraduate,Working Professional,203,No,No,No,Yes,No,714,0,Moderate,Tax Optimization,Premium
2410,55,31,73,Medium,95207,3,Undergraduate,Working Professional,219,No,No,No,Yes,No,839,0,Moderate,Tax Optimization,Premium
2411,29,4,130,High,92630,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,716,0,Conservative,Tax Optimization,Premium
2412,47,22,65,Medium,91330,3,Graduate,Working Professional,0,No,No,No,Yes,No,544,0,Moderate,Wealth Growth,Premium
2413,61,36,59,Medium,93118,4,Undergraduate,Working Professional,148,No,No,No,No,No,517,0,Conservative,Retirement,Premium
2414,60,34,31,Low,91007,2,Professional,Self-Employed,0,No,No,No,No,No,562,0,Moderate,Tax Optimization,Premium
2415,34,10,134,High,91775,1,Undergraduate,Working Professional,0,No,No,No,No,No,1076,0,Conservative,Wealth Growth,Private
2416,45,21,11,Low,94143,4,Undergraduate,Working Professional,106,No,No,No,Yes,Yes,345,0,Moderate,Tax Optimization,Basic
2417,60,35,32,Low,93611,1,Professional,Self-Employed,80,No,No,No,Yes,No,622,0,Moderate,Wealth Growth,Premium
2418,25,0,53,Medium,90095,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,388,0,Conservative,Retirement,Basic
2419,41,17,28,Low,95616,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,547,0,Moderate,Education Funding,Premium
2420,63,37,44,Low,94550,2,Professional,Self-Employed,0,No,No,No,Yes,No,389,0,Conservative,Wealth Growth,Basic
2421,63,39,40,Low,91304,1,Undergraduate,Working Professional,118,No,No,No,No,Yes,646,0,Conservative,Education Funding,Premium
2422,43,19,40,Low,94949,3,Graduate,Working Professional,0,No,No,No,Yes,No,415,0,Moderate,Tax Optimization,Basic
2423,58,32,163,High,95014,2,Undergraduate,Working Professional,400,No,No,No,No,No,1418,0,Moderate,Retirement,Private
2424,50,25,82,Medium,91335,1,Professional,Self-Employed,0,No,No,No,Yes,No,469,0,Moderate,Education Funding,Basic
2425,38,12,89,Medium,94583,4,Graduate,Working Professional,0,No,No,No,No,No,768,0,Conservative,Education Funding,Premium
2426,54,30,78,Medium,92507,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,619,0,Moderate,Wealth Growth,Premium
2427,61,36,55,Medium,94132,3,Professional,Self-Employed,197,No,No,No,No,No,557,0,Conservative,Retirement,Premium
2428,29,5,34,Low,92675,4,Graduate,Working Professional,0,No,No,No,Yes,No,399,0,Conservative,Tax Optimization,Basic
2429,39,12,108,High,92717,4,Graduate,Working Professional,301,Yes,No,No,No,Yes,896,0,Conservative,Education Funding,Premium
2430,33,7,58,Medium,95616,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,444,0,Conservative,Retirement,Basic
2431,23,1,73,Medium,92120,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,637,0,Conservative,Retirement,Premium
2432,56,31,54,Medium,91380,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,764,0,Moderate,Education Funding,Premium
2433,54,30,45,Low,92182,4,Graduate,Working Professional,0,No,No,No,No,Yes,704,0,Moderate,Estate Planning,Premium
2434,37,11,123,High,94720,1,Graduate,Working Professional,0,Yes,Yes,Yes,Yes,No,908,243,Aggressive,Education Funding,Premium
2435,38,12,93,Medium,95616,1,Undergraduate,Working Professional,267,No,No,No,Yes,No,920,0,Conservative,Wealth Growth,Premium
2436,34,9,102,High,92115,4,Graduate,Working Professional,0,No,No,No,Yes,No,863,0,Conservative,Estate Planning,Premium
2437,53,29,39,Low,92626,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,612,0,Moderate,Estate Planning,Premium
2438,65,40,114,High,94608,4,Graduate,Retired,0,No,No,No,No,Yes,627,0,Conservative,Retirement,Premium
2439,62,37,29,Low,91030,1,Professional,Self-Employed,0,No,No,No,No,Yes,373,0,Conservative,Retirement,Basic
2440,51,25,30,Low,91116,3,Graduate,Working Professional,144,No,No,No,No,Yes,443,0,Moderate,Tax Optimization,Basic
2441,31,5,22,Low,91401,1,Professional,Self-Employed,0,No,No,No,No,No,449,0,Conservative,Tax Optimization,Basic
2442,64,38,38,Low,94305,2,Undergraduate,Working Professional,186,No,No,No,Yes,Yes,580,0,Conservative,Retirement,Premium
2443,39,15,41,Low,90028,2,Undergraduate,Working Professional,0,No,No,No,No,No,473,0,Conservative,Retirement,Basic
2444,28,3,161,High,92646,4,Professional,Self-Employed,422,Yes,No,Yes,Yes,Yes,1304,163,Aggressive,Tax Optimization,Private
2445,60,35,38,Low,94701,3,Graduate,Working Professional,0,No,No,No,Yes,Yes,553,0,Moderate,Tax Optimization,Premium
2446,47,23,25,Low,93106,1,Professional,Self-Employed,0,No,No,No,Yes,No,420,0,Moderate,Tax Optimization,Basic
2447,25,1,70,Medium,93010,4,Undergraduate,Working Professional,218,No,No,No,Yes,No,1066,0,Conservative,Wealth Growth,Private
2448,44,19,201,High,95819,2,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,1148,0,Moderate,Education Funding,Private
2449,51,26,42,Low,92103,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,611,0,Moderate,Tax Optimization,Premium
2450,31,7,64,Medium,94720,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,627,0,Conservative,Tax Optimization,Premium
2451,32,7,28,Low,90034,4,Professional,Self-Employed,0,No,No,No,No,No,249,0,Conservative,Education Funding,Basic
2452,51,25,119,High,93940,1,Undergraduate,Working Professional,208,No,No,No,Yes,Yes,906,0,Moderate,Education Funding,Premium
2453,25,1,28,Low,94596,1,Professional,Self-Employed,0,No,No,No,Yes,No,284,0,Conservative,Estate Planning,Basic
2454,43,19,60,Medium,94104,3,Professional,Self-Employed,0,No,No,No,Yes,No,769,0,Moderate,Tax Optimization,Premium
2455,54,29,23,Low,93955,1,Graduate,Working Professional,0,No,No,No,No,No,271,0,Moderate,Wealth Growth,Basic
2456,34,8,164,High,94720,4,Professional,Self-Employed,0,Yes,No,No,Yes,No,1135,0,Conservative,Retirement,Private
2457,54,30,39,Low,95211,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,636,0,Moderate,Tax Optimization,Premium
2458,42,17,19,Low,92115,2,Professional,Self-Employed,85,No,No,No,Yes,Yes,264,0,Moderate,Education Funding,Basic
2459,46,20,72,Medium,93108,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,446,0,Moderate,Education Funding,Basic
2460,62,37,41,Low,95060,3,Professional,Self-Employed,0,No,No,No,Yes,Yes,518,0,Conservative,Estate Planning,Premium
2461,31,5,32,Low,92123,2,Graduate,Working Professional,130,No,No,No,Yes,No,685,0,Conservative,Wealth Growth,Premium
2462,30,5,69,Medium,94302,1,Graduate,Working Professional,0,No,No,No,Yes,No,665,0,Conservative,Estate Planning,Premium
2463,52,28,23,Low,95828,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,200,0,Moderate,Tax Optimization,Basic
2464,35,9,44,Low,92009,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,493,0,Conservative,Retirement,Basic
2465,60,36,32,Low,92407,3,Graduate,Working Professional,165,No,No,No,Yes,No,714,0,Moderate,Retirement,Premium
2466,58,34,25,Low,90059,2,Undergraduate,Working Professional,123,No,No,No,Yes,No,328,0,Moderate,Wealth Growth,Basic
2467,24,2,80,Medium,94105,2,Professional,Self-Employed,0,No,No,No,Yes,No,702,0,Conservative,Estate Planning,Premium
2468,40,16,83,Medium,92350,1,Graduate,Working Professional,230,No,Yes,No,Yes,No,739,166,Moderate,Estate Planning,Premium
2469,49,23,133,High,94304,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,787,0,Moderate,Retirement,Premium
2470,43,18,89,Medium,92780,1,Graduate,Working Professional,307,No,No,No,No,Yes,963,0,Moderate,Estate Planning,Premium
2471,33,7,81,Medium,92122,2,Professional,Self-Employed,187,No,No,Yes,Yes,Yes,646,339,Aggressive,Education Funding,Premium
2472,36,11,44,Low,91040,2,Graduate,Working Professional,85,No,No,No,Yes,No,577,0,Conservative,Wealth Growth,Premium
2473,62,36,119,High,94720,2,Undergraduate,Working Professional,0,No,No,No,No,No,720,0,Conservative,Tax Optimization,Premium
2474,57,32,39,Low,92182,4,Undergraduate,Working Professional,147,No,No,No,No,No,606,0,Moderate,Estate Planning,Premium
2475,64,38,40,Low,92122,2,Professional,Self-Employed,0,No,No,No,No,No,495,0,Conservative,Education Funding,Basic
2476,52,26,79,Medium,95817,3,Undergraduate,Working Professional,183,No,No,No,No,No,1065,0,Moderate,Estate Planning,Private
2477,54,28,30,Low,95616,4,Graduate,Working Professional,0,No,No,No,Yes,No,359,0,Moderate,Tax Optimization,Basic
2478,40,14,179,High,90025,1,Professional,Self-Employed,0,Yes,No,No,Yes,No,984,0,Moderate,Retirement,Premium
2479,30,5,178,High,94063,2,Undergraduate,Working Professional,0,No,No,No,No,No,1060,0,Conservative,Wealth Growth,Private
2480,55,30,82,Medium,94720,4,Graduate,Working Professional,0,No,No,No,Yes,No,534,0,Moderate,Estate Planning,Premium
2481,39,13,50,Low,91768,2,Graduate,Working Professional,0,No,No,No,No,No,358,0,Conservative,Tax Optimization,Basic
2482,55,30,64,Medium,94306,2,Graduate,Working Professional,0,No,No,No,No,No,515,0,Moderate,Tax Optimization,Premium
2483,28,4,129,High,92115,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,1037,0,Conservative,Estate Planning,Private
2484,44,18,68,Medium,93943,4,Undergraduate,Working Professional,0,No,Yes,No,No,No,655,168,Moderate,Wealth Growth,Premium
2485,46,21,30,Low,92697,1,Professional,Self-Employed,112,No,Yes,No,No,No,489,431,Moderate,Estate Planning,Basic
2486,61,36,48,Low,94025,3,Undergraduate,Working Professional,0,No,No,No,No,Yes,446,0,Conservative,Education Funding,Basic
2487,61,36,130,High,92717,1,Undergraduate,Working Professional,257,No,No,No,No,No,1290,0,Conservative,Retirement,Private
2488,45,20,40,Low,92886,1,Professional,Self-Employed,0,No,Yes,No,Yes,No,544,53,Moderate,Retirement,Premium
2489,38,14,105,High,94708,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,921,0,Conservative,Tax Optimization,Premium
2490,29,3,41,Low,92626,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,405,0,Conservative,Wealth Growth,Basic
2491,52,28,168,High,90404,3,Professional,Self-Employed,118,Yes,No,No,Yes,No,1267,0,Moderate,Estate Planning,Private
2492,38,14,80,Medium,92868,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,681,0,Conservative,Estate Planning,Premium
2493,28,3,134,High,96091,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,784,0,Conservative,Education Funding,Premium
2494,34,9,49,Low,94025,1,Professional,Self-Employed,0,No,No,No,No,No,539,0,Conservative,Tax Optimization,Premium
2495,35,9,63,Medium,92697,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,446,0,Conservative,Estate Planning,Basic
2496,46,22,70,Medium,94701,4,Undergraduate,Working Professional,212,No,No,No,No,Yes,755,0,Moderate,Estate Planning,Premium
2497,63,37,32,Low,93117,3,Graduate,Working Professional,141,No,No,No,No,No,410,0,Conservative,Estate Planning,Basic
2498,33,9,14,Low,95133,3,Professional,Self-Employed,114,No,No,No,No,No,315,0,Conservative,Tax Optimization,Basic
2499,38,14,111,High,92028,2,Undergraduate,Working Professional,326,No,No,No,No,No,1073,0,Conservative,Retirement,Private
2500,53,27,38,Low,94105,4,Graduate,Working Professional,144,No,Yes,No,Yes,No,777,379,Moderate,Tax Optimization,Premium
2501,28,2,121,High,92096,2,Undergraduate,Working Professional,341,No,No,No,Yes,No,1269,0,Conservative,Estate Planning,Private
2502,44,18,90,Medium,95616,4,Professional,Self-Employed,0,No,No,No,Yes,No,813,0,Moderate,Education Funding,Premium
2503,58,31,178,High,92009,2,Graduate,Working Professional,0,Yes,No,No,Yes,No,1092,0,Moderate,Wealth Growth,Private
2504,38,14,20,Low,94024,4,Graduate,Working Professional,79,No,No,No,Yes,Yes,594,0,Conservative,Wealth Growth,Premium
2505,48,24,61,Medium,91380,2,Undergraduate,Working Professional,229,No,No,No,No,Yes,607,0,Moderate,Tax Optimization,Premium
2506,33,7,43,Low,96064,4,Undergraduate,Working Professional,0,No,No,No,No,No,464,0,Conservative,Retirement,Basic
2507,66,42,39,Low,94590,1,Graduate,Retired,0,No,No,No,Yes,Yes,419,0,Conservative,Tax Optimization,Basic
2508,59,34,60,Medium,90048,4,Undergraduate,Working Professional,234,No,No,No,Yes,Yes,621,0,Moderate,Education Funding,Premium
2509,40,15,63,Medium,93407,3,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,426,289,Moderate,Wealth Growth,Basic
2510,36,11,8,Low,93401,4,Professional,Self-Employed,81,No,No,No,No,Yes,474,0,Conservative,Education Funding,Basic
2511,62,38,52,Medium,95616,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,382,0,Conservative,Education Funding,Basic
2512,51,27,92,Medium,92121,4,Undergraduate,Working Professional,0,Yes,No,Yes,Yes,Yes,520,88,Moderate,Estate Planning,Premium
2513,58,32,111,High,90212,2,Undergraduate,Working Professional,298,No,No,No,Yes,No,1257,0,Moderate,Tax Optimization,Private
2514,52,26,71,Medium,92037,1,Professional,Self-Employed,0,No,No,No,No,No,733,0,Moderate,Retirement,Premium
2515,41,16,25,Low,92182,2,Graduate,Working Professional,91,No,Yes,No,No,No,623,356,Moderate,Estate Planning,Premium
2516,31,5,34,Low,94558,1,Professional,Self-Employed,156,No,No,No,Yes,No,825,0,Conservative,Wealth Growth,Premium
2517,28,3,74,Medium,94720,3,Professional,Self-Employed,0,No,No,No,No,No,826,0,Conservative,Estate Planning,Premium
2518,57,31,120,High,95616,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,1056,0,Moderate,Education Funding,Private
2519,61,37,50,Low,95125,4,Graduate,Working Professional,0,No,No,No,No,Yes,333,0,Conservative,Estate Planning,Basic
2520,60,36,10,Low,92121,2,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,120,0,Moderate,Wealth Growth,Basic
2521,56,29,45,Low,90095,4,Graduate,Working Professional,113,No,No,No,Yes,No,648,0,Moderate,Estate Planning,Premium
2522,49,23,29,Low,94551,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,541,0,Moderate,Wealth Growth,Premium
2523,63,37,145,High,94025,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,1146,0,Conservative,Wealth Growth,Private
2524,49,23,100,Medium,95403,2,Undergraduate,Working Professional,0,No,No,No,No,No,595,0,Moderate,Tax Optimization,Premium
2525,49,25,24,Low,95678,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,211,0,Moderate,Wealth Growth,Basic
2526,32,8,60,Medium,95816,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,514,0,Conservative,Wealth Growth,Premium
2527,26,1,50,Low,95616,4,Graduate,Working Professional,0,No,No,No,No,No,390,0,Conservative,Retirement,Basic
2528,27,1,43,Low,95120,3,Graduate,Working Professional,0,No,No,No,No,No,458,0,Conservative,Wealth Growth,Basic
2529,57,31,79,Medium,91335,3,Undergraduate,Working Professional,0,No,No,No,No,Yes,603,0,Moderate,Tax Optimization,Premium
2530,29,5,44,Low,95819,3,Graduate,Working Professional,0,No,No,No,Yes,Yes,583,0,Conservative,Wealth Growth,Premium
2531,56,30,31,Low,90024,4,Professional,Self-Employed,0,No,No,No,Yes,No,363,0,Moderate,Estate Planning,Basic
